后端性能监控指标.csv
\---------------------

| 监控指标 | 单位 | 目标值 | 说明 |
|----------|------|--------|------|
| CPU利用率 | %    | ≤ 70   | 平均CPU使用率不应超过70% |
| 内存利用率 | %    | ≤ 80   | 平均内存使用率不应超过80% |
| 磁盘I/O吞吐量 | MB/s | ≤ 500  | 磁盘读写操作不应超过500MB/s |
| 网络带宽使用率 | %    | ≤ 85   | 网络带宽使用率不应超过85% |
| API响应时间 | ms   | ≤ 200  | API响应时间不应超过200毫秒 |
| 每秒请求处理量（RPS） | 次/s | ≥ 1000 | 系统应能够处理至少1000次每秒的请求 |
| 每秒交易处理量（TPS） | 次/s | ≥ 50   | 系统应能够处理至少50次每秒的交易 |
| 系统错误率 | %    | ≤ 1    | 系统错误率不应超过1% |
| 数据库查询延迟 | ms   | ≤ 50   | 数据库查询延迟不应超过50毫秒 |
| 服务可用性 | %    | ≥ 99.9 | 系统可用性应达到99.9% |

\---------------------

请注意，这是一个示例表格内容，实际后端性能监控指标需要根据具体的项目需求和性能测试结果进行设定。
